"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"25","302015","和歌山(県)-25*","地価調査","住宅","和歌山市","西長町２丁目３８番","","135.162","34.2256","300000","287000","278000","258000","238000","217000","193000","183000","175000","166000","158000","145000","136000","132000","134000","135000","131000","126000","124000","120000","117000","117000","117000","119000","121000","135.161657762448","34.2255892840663","平成29年地価調査基準地"
"26","302015","和歌山(県)-26","地価調査","住宅","和歌山市","中之島字東垣内１８９７番外","","135.181","34.2385","0","0","0","217000","210000","195000","176000","166000","157000","148000","140000","133000","124000","120000","120000","119000","118000","116000","113000","109000","106000","104000","102000","102000","102000","135.18137750137","34.2385193461143","平成29年地価調査基準地"
"29","302015","和歌山(県)-29","地価調査","住宅","和歌山市","小松原６丁目５番６７","小松原６－６－７","135.167","34.2164","223000","215000","207000","205000","200000","181000","168000","159000","151000","138000","127000","118000","112000","109000","107000","106000","103000","99300","96800","94500","92700","92000","91200","91000","91000","135.166718046625","34.2164193175029","平成29年地価調査基準地"
"30","302015","和歌山(県)-30","地価調査","住宅","和歌山市","加納字長池３６１番３９外","","135.206","34.2418","155000","155000","152000","150000","149000","145000","135000","130000","125000","113000","104000","98500","88000","83500","78500","73800","70000","66000","63500","61300","59800","58500","57400","56500","55800","135.206147074986","34.2417691314061","平成29年地価調査基準地"
"31","302015","和歌山(県)-31*","地価調査","住宅","和歌山市","太田字神ノ畔１５２番","","135.198","34.2277","318000","306000","295000","277000","251000","226000","201000","183000","170000","161000","153000","144000","138000","133000","135000","135000","132000","128000","126000","124000","124000","126000","127000","129000","131000","135.197887465703","34.2276694318107","平成29年地価調査基準地"
"38","302015","和歌山(県)-27","地価調査","住宅","和歌山市","毛見字塩田１３５番３５","","135.19","34.1639","164000","160000","158000","157000","154000","150000","147000","140000","132000","124000","118000","110000","104000","98300","94500","89500","85500","82600","80800","78100","75500","73300","70500","68000","66300","135.190278441664","34.1639286285208","平成29年地価調査基準地"
"39","302015","和歌山(県)-34*","地価調査","住宅","和歌山市","向字高屋敷４５番１２","","135.148","34.257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62500","60500","58000","54500","52100","51000","50100","49600","49400","49000","135.148218205354","34.2569888344767","平成29年地価調査基準地"
"41","302015","和歌山(県)3-2","地価調査","宅見","和歌山市","井辺字儀法堂３２番","","135.211","34.222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22000","21900","21800","21300","20400","19700","19000","18900","18600","18600","18600","135.210487266732","34.2219894683797","平成29年地価調査基準地"
"42","302015","和歌山(県)5-1*","地価調査","商業","和歌山市","友田町５丁目５０番外","","135.19","34.2324","0","0","0","0","0","0","903000","805000","696000","668000","605000","548000","514000","507000","515000","530000","520000","500000","477000","455000","438000","438000","438000","438000","438000","135.189617538893","34.232429414283","平成29年地価調査基準地"
"43","302015","和歌山(県)5-2","地価調査","商業","和歌山市","元寺町４丁目５番","","135.177","34.2386","825000","690000","590000","504000","425000","368000","335000","302000","270000","240000","212000","206000","190000","180000","175000","172000","167000","163000","161000","157000","152000","150000","150000","150000","151000","135.176687509401","34.2386293487904","平成29年地価調査基準地"
"45","302015","和歌山(県)5-4","地価調査","商業","和歌山市","十一番丁４３番","","135.176","34.232","700000","600000","510000","425000","368000","331000","295000","266000","226000","208000","185000","165000","153000","147000","147000","147000","143000","137000","131000","125000","120000","120000","122000","124000","126000","135.175907702498","34.2319795126076","平成29年地価調査基準地"
"46","302015","和歌山(県)5-5","地価調査","商業","和歌山市","舟大工町６番外","","135.169","34.2347","878000","737000","630000","535000","460000","396000","341000","301000","271000","245000","227000","203000","188000","178000","173000","171000","166000","159000","150000","144000","140000","137000","136000","135000","135000","135.169137533302","34.2346893858513","平成29年地価調査基準地"
